 1.91501164e-04 -6.49988025e-01  1.91501164e-04 -1.53372746e+00 
 1.92751164e-04 -6.49984106e-01  1.92751164e-04 -1.53370463e+00 
 1.94001164e-04 -6.49980187e-01  1.94001164e-04 -1.53368180e+00 
 1.95251164e-04 -6.49976268e-01  1.95251164e-04 -1.53365897e+00 
 1.96501164e-04 -6.49972349e-01  1.96501164e-04 -1.53363614e+00 
 1.97751164e-04 -6.49968430e-01  1.97751164e-04 -1.53361331e+00 
 1.99001164e-04 -6.49964512e-01  1.99001164e-04 -1.53359048e+00 
 2.00251164e-04 -6.49960593e-01  2.00251164e-04 -1.53356766e+00 
 2.01501164e-04 -6.49956673e-01  2.01501164e-04 -1.53354483e+00 
 2.02751164e-04 -6.49952754e-01  2.02751164e-04 -1.53352200e+00 
 2.04001164e-04 -6.49948835e-01  2.04001164e-04 -1.53349918e+00 
 2.05251164e-04 -6.49944916e-01  2.05251164e-04 -1.53347635e+00 
 2.06501164e-04 -6.49940996e-01  2.06501164e-04 -1.53345352e+00 
 2.07751164e-04 -6.49937077e-01  2.07751164e-04 -1.53343069e+00 
 2.09001164e-04 -6.49933157e-01  2.09001164e-04 -1.53340787e+00 
 2.10251164e-04 -6.49929238e-01  2.10251164e-04 -1.53338504e+00 
 2.11501164e-04 -6.49925318e-01  2.11501164e-04 -1.53336222e+00 
 2.12751164e-04 -6.49921398e-01  2.12751164e-04 -1.53333939e+00 
 2.14001164e-04 -6.49917479e-01  2.14001164e-04 -1.53331656e+00 
 2.15251164e-04 -6.49913559e-01  2.15251164e-04 -1.53329374e+00 
 2.16501164e-04 -6.49909639e-01  2.16501164e-04 -1.53327091e+00 
 2.17751164e-04 -6.49905720e-01  2.17751164e-04 -1.53324809e+00 
 2.19001164e-04 -6.49901800e-01  2.19001164e-04 -1.53322526e+00 
 2.20251164e-04 -6.49897880e-01  2.20251164e-04 -1.53320244e+00 
 2.21501164e-04 -6.49893960e-01  2.21501164e-04 -1.53317962e+00 
 2.22751164e-04 -6.49890040e-01  2.22751164e-04 -1.53315679e+00 
 2.24001164e-04 -6.49886120e-01  2.24001164e-04 -1.53313397e+00 
 2.25251164e-04 -6.49882200e-01  2.25251164e-04 -1.53311115e+00 
 2.26501164e-04 -6.49878280e-01  2.26501164e-04 -1.53308832e+00 
 2.27751164e-04 -6.49874359e-01  2.27751164e-04 -1.53306550e+00 
 2.29001164e-04 -6.49870439e-01  2.29001164e-04 -1.53304267e+00 
 2.30251164e-04 -6.49866519e-01  2.30251164e-04 -1.53301985e+00 
 2.31501164e-04 -6.49862599e-01  2.31501164e-04 -1.53299703e+00 
 2.32751164e-04 -6.49858678e-01  2.32751164e-04 -1.53297421e+00 
 2.34001164e-04 -6.49854758e-01  2.34001164e-04 -1.53295138e+00 
 2.35251164e-04 -6.49850838e-01  2.35251164e-04 -1.53292856e+00 
 2.36501164e-04 -6.49846918e-01  2.36501164e-04 -1.53290574e+00 
 2.37751164e-04 -6.49842997e-01  2.37751164e-04 -1.53288291e+00 
 2.39001164e-04 -6.49839076e-01  2.39001164e-04 -1.53286009e+00 
 2.40251164e-04 -6.49835156e-01  2.40251164e-04 -1.53283727e+00 
 2.41501164e-04 -6.49831236e-01  2.41501164e-04 -1.53281445e+00 
 2.42751164e-04 -6.49827315e-01  2.42751164e-04 -1.53279162e+00 
 2.44001164e-04 -6.49823395e-01  2.44001164e-04 -1.53276880e+00 
 2.45251164e-04 -6.49819475e-01  2.45251164e-04 -1.53274598e+00 
 2.46501164e-04 -6.49815555e-01  2.46501164e-04 -1.53272316e+00 
 2.47751164e-04 -6.49811634e-01  2.47751164e-04 -1.53270034e+00 
 2.49001164e-04 -6.49807714e-01  2.49001164e-04 -1.53267752e+00 
 2.50251164e-04 -6.49803794e-01  2.50251164e-04 -1.53265469e+00 
 2.51501164e-04 -6.49799873e-01  2.51501164e-04 -1.53263187e+00 
 2.52751164e-04 -6.49795953e-01  2.52751164e-04 -1.53260905e+00 
 2.54001164e-04 -6.49792032e-01  2.54001164e-04 -1.53258623e+00 
 2.55251164e-04 -6.49788111e-01  2.55251164e-04 -1.53256341e+00 
 2.56501164e-04 -6.49784191e-01  2.56501164e-04 -1.53254059e+00 
 2.57751164e-04 -6.49780270e-01  2.57751164e-04 -1.53251777e+00 
 2.59001164e-04 -6.49776350e-01  2.59001164e-04 -1.53249495e+00 
 2.60251164e-04 -6.49772429e-01  2.60251164e-04 -1.53247213e+00 
 2.61501164e-04 -6.49768509e-01  2.61501164e-04 -1.53244931e+00 
 2.62751164e-04 -6.49764588e-01  2.62751164e-04 -1.53242649e+00 
 2.64001164e-04 -6.49760668e-01  2.64001164e-04 -1.53240367e+00 
 2.65251164e-04 -6.49756747e-01  2.65251164e-04 -1.53238085e+00 
 2.66501164e-04 -6.49752827e-01  2.66501164e-04 -1.53235803e+00 
 2.67751164e-04 -6.49748906e-01  2.67751164e-04 -1.53233521e+00 
 2.69001164e-04 -6.49744986e-01  2.69001164e-04 -1.53231239e+00 
 2.70251164e-04 -6.49741065e-01  2.70251164e-04 -1.53228957e+00 
 2.71501164e-04 -6.49737145e-01  2.71501164e-04 -1.53226675e+00 
 2.72751164e-04 -6.49733224e-01  2.72751164e-04 -1.53224393e+00 
 2.74001164e-04 -6.49729304e-01  2.74001164e-04 -1.53222111e+00 
 2.75251164e-04 -6.49725383e-01  2.75251164e-04 -1.53219829e+00 
 2.76501164e-04 -6.49721462e-01  2.76501164e-04 -1.53217547e+00 
 2.77751164e-04 -6.49717541e-01  2.77751164e-04 -1.53215265e+00 
 2.79001164e-04 -6.49713621e-01  2.79001164e-04 -1.53212983e+00 
 2.80251164e-04 -6.49709700e-01  2.80251164e-04 -1.53210701e+00 
 2.81501164e-04 -6.49705779e-01  2.81501164e-04 -1.53208419e+00 
 2.82751164e-04 -6.49701858e-01  2.82751164e-04 -1.53206137e+00 
 2.84001164e-04 -6.49697937e-01  2.84001164e-04 -1.53203855e+00 
 2.85251164e-04 -6.49694016e-01  2.85251164e-04 -1.53201573e+00 
 2.86501164e-04 -6.49690096e-01  2.86501164e-04 -1.53199291e+00 
 2.87751164e-04 -6.49686175e-01  2.87751164e-04 -1.53197009e+00 
 2.89001164e-04 -6.49682254e-01  2.89001164e-04 -1.53194727e+00 
 2.90251164e-04 -6.49678333e-01  2.90251164e-04 -1.53192445e+00 
 2.91501164e-04 -6.49674412e-01  2.91501164e-04 -1.53190163e+00 
 2.92751164e-04 -6.49670491e-01  2.92751164e-04 -1.53187881e+00 
 2.94001164e-04 -6.49666571e-01  2.94001164e-04 -1.53185599e+00 
 2.95251164e-04 -6.49662650e-01  2.95251164e-04 -1.53183317e+00 
 2.96501164e-04 -6.49658729e-01  2.96501164e-04 -1.53181036e+00 
 2.97751164e-04 -6.49654808e-01  2.97751164e-04 -1.53178754e+00 
 2.99001164e-04 -6.49650887e-01  2.99001164e-04 -1.53176472e+00 
 3.00251164e-04 -6.49646966e-01  3.00251164e-04 -1.53174190e+00 
 3.01501164e-04 -6.49643045e-01  3.01501164e-04 -1.53171908e+00 
 3.02751164e-04 -6.49639125e-01  3.02751164e-04 -1.53169626e+00 
 3.04001164e-04 -6.49635204e-01  3.04001164e-04 -1.53167344e+00 
 3.05251164e-04 -6.49631283e-01  3.05251164e-04 -1.53165062e+00 
 3.06501164e-04 -6.49627362e-01  3.06501164e-04 -1.53162780e+00 
 3.07751164e-04 -6.49623441e-01  3.07751164e-04 -1.53160498e+00 
 3.09001164e-04 -6.49619520e-01  3.09001164e-04 -1.53158216e+00 
 3.10251164e-04 -6.49615599e-01  3.10251164e-04 -1.53155934e+00 
 3.11501164e-04 -6.49611678e-01  3.11501164e-04 -1.53153652e+00 
 3.12751164e-04 -6.49607757e-01  3.12751164e-04 -1.53151371e+00 
 3.14001164e-04 -6.49603836e-01  3.14001164e-04 -1.53149089e+00 
 3.15251164e-04 -6.49599915e-01  3.15251164e-04 -1.53146807e+00 
