theta_deg,C1_pF,C2_pF,T_varicap_mNm,T_shuttle_mNm,T_cem_mNm,tier
24.083,68.07,227.93,-3117.4055,0.0000,0.0000,OC
24.167,67.33,228.67,3084.5907,0.0000,0.0000,OC
24.250,66.60,229.40,-0.0000,0.0000,0.0000,OC
24.333,65.87,230.13,-0.0000,0.0000,0.0000,OC
24.417,65.13,230.87,-0.0000,0.0000,0.0000,OC
24.500,64.40,231.60,-3117.4055,0.0000,0.0000,OC
24.583,63.67,232.33,-0.0000,0.0000,0.0000,OC
24.667,62.93,233.07,3150.2203,0.0000,0.0000,OC
24.750,62.20,233.80,-3150.2203,0.0000,0.0000,OC
24.833,61.47,234.53,1607.9249,0.0000,0.0000,OC
24.917,60.73,235.27,3150.2203,0.0000,0.0000,OC
25.000,60.00,236.00,-4758.1452,0.0000,0.0000,OC
25.083,59.27,236.73,-0.0000,0.0000,0.0000,OC
25.167,58.53,237.47,3183.0350,0.0000,0.0000,OC
25.250,57.80,238.20,-3183.0350,0.0000,0.0000,OC
25.333,57.07,238.93,1607.9249,0.0000,0.0000,OC
25.417,56.33,239.67,4823.7748,0.0000,0.0000,OC
25.500,55.60,240.40,-3215.8498,0.0000,0.0000,OC
25.583,54.87,241.13,-0.0000,0.0000,0.0000,OC
25.667,54.13,241.87,3215.8498,0.0000,0.0000,OC
25.750,53.40,242.60,-3248.6646,0.0000,0.0000,OC
25.833,52.67,243.33,-0.0000,0.0000,0.0000,OC
25.917,51.93,244.07,3281.4794,0.0000,0.0000,OC
26.000,51.20,244.80,-3248.6646,0.0000,0.0000,OC
26.083,50.47,245.53,-0.0000,0.0000,0.0000,OC
26.167,49.73,246.27,3281.4794,0.0000,0.0000,OC
26.250,49.00,247.00,-3281.4794,0.0000,0.0000,OC
26.333,48.27,247.73,1640.7397,0.0000,0.0000,OC
26.417,47.53,248.47,3281.4794,0.0000,0.0000,OC
26.500,46.80,249.20,-3314.2942,0.0000,0.0000,OC
26.583,46.07,249.93,1673.5545,0.0000,0.0000,OC
26.667,45.33,250.67,3314.2942,0.0000,0.0000,OC
26.750,44.60,251.40,-9975.6975,0.0000,0.0000,OC
26.833,43.87,252.13,-0.0000,0.0000,0.0000,OC
26.917,43.13,252.87,10008.5123,0.0000,0.0000,OC
27.000,42.40,253.60,-10008.5123,0.0000,0.0000,OC
27.083,41.67,254.33,-6694.2180,0.0000,0.0000,OC
27.167,40.93,255.07,10106.9566,0.0000,0.0000,OC
27.250,40.20,255.80,3379.9238,0.0000,0.0000,OC
27.333,39.47,256.53,820.3699,0.0000,0.0000,OC
27.417,38.73,257.27,-3379.9238,0.0000,0.0000,OC
27.500,38.00,258.00,-11025.7709,0.0000,0.0000,OC
27.583,37.27,258.73,8499.0317,0.0000,0.0000,OC
27.667,36.53,259.47,11025.7709,0.0000,0.0000,OC
27.750,35.80,260.20,-11124.2153,0.0000,0.0000,OC
27.833,35.07,260.93,-6005.1074,0.0000,0.0000,OC
27.917,34.33,261.67,4265.9233,0.0000,0.0000,OC
28.000,33.60,262.40,3412.7386,0.0000,0.0000,OC
28.083,32.87,263.13,-0.0000,0.0000,0.0000,OC
28.167,32.13,263.87,-3445.5534,0.0000,0.0000,OC
28.250,31.40,264.60,-3445.5534,0.0000,0.0000,OC
28.333,30.67,265.33,-0.0000,0.0000,0.0000,OC
28.417,29.93,266.07,3445.5534,0.0000,0.0000,OC
28.500,29.20,266.80,-3051.7759,0.0000,0.0000,OC
28.583,28.47,267.53,853.1847,0.0000,0.0000,OC
28.667,27.73,268.27,3511.1830,0.0000,0.0000,OC
28.750,27.00,269.00,-3478.3682,0.0000,0.0000,OC
28.833,26.27,269.73,426.5923,0.0000,0.0000,OC
28.917,25.53,270.47,3511.1830,0.0000,0.0000,OC
29.000,24.80,271.20,-3543.9978,0.0000,0.0000,OC
29.083,24.07,271.93,853.1847,0.0000,0.0000,OC
29.167,23.33,272.67,3937.7753,0.0000,0.0000,OC
29.250,22.60,273.40,-3543.9978,0.0000,0.0000,OC
29.333,21.87,274.13,426.5923,0.0000,0.0000,OC
29.417,21.13,274.87,3576.8126,0.0000,0.0000,OC
29.500,20.40,275.60,-3576.8126,0.0000,0.0000,OC
29.583,19.67,276.33,426.5923,0.0000,0.0000,OC
29.667,18.93,277.07,3576.8126,0.0000,0.0000,OC
29.750,18.20,277.80,-3609.6274,0.0000,0.0000,OC
29.833,17.47,278.53,885.9994,0.0000,0.0000,OC
29.917,16.73,279.27,3609.6274,0.0000,0.0000,OC
30.000,16.00,280.00,2707.4149,0.0000,0.0000,OC
30.083,16.73,279.27,-885.9994,0.0000,0.0000,OC
30.167,17.47,278.53,-3609.6274,0.0000,0.0000,OC
30.250,18.20,277.80,3609.6274,0.0000,0.0000,OC
30.333,18.93,277.07,-885.9994,0.0000,0.0000,OC
30.417,19.67,276.33,-3117.4055,0.0000,0.0000,OC
30.500,20.40,275.60,4003.4049,0.0000,0.0000,OC
30.583,21.13,274.87,-885.9994,0.0000,0.0000,OC
30.667,21.87,274.13,-3543.9978,0.0000,0.0000,OC
30.750,22.60,273.40,10631.9933,0.0000,0.0000,OC
30.833,23.33,272.67,-885.9994,0.0000,0.0000,OC
30.917,24.07,271.93,-10566.3638,0.0000,0.0000,OC
31.000,24.80,271.20,3543.9978,0.0000,0.0000,OC
31.083,25.53,270.47,-853.1847,0.0000,0.0000,OC
31.167,26.27,269.73,-3511.1830,0.0000,0.0000,OC
31.250,27.00,269.00,3478.3682,0.0000,0.0000,OC
31.333,27.73,268.27,-426.5923,0.0000,0.0000,OC
31.417,28.47,267.53,-3478.3682,0.0000,0.0000,OC
31.500,29.20,266.80,10435.1046,0.0000,0.0000,OC
31.583,29.93,266.07,-0.0000,0.0000,0.0000,OC
31.667,30.67,265.33,-10402.2898,0.0000,0.0000,OC
31.750,31.40,264.60,3445.5534,0.0000,0.0000,OC
31.833,32.13,263.87,6070.7369,0.0000,0.0000,OC
31.917,32.87,263.13,-3445.5534,0.0000,0.0000,OC
32.000,33.60,262.40,-7711.4767,0.0000,0.0000,OC
32.083,34.33,261.67,-1706.3693,0.0000,0.0000,OC
32.167,35.07,260.93,7711.4767,0.0000,0.0000,OC
32.250,35.80,260.20,6825.4772,0.0000,0.0000,OC
32.333,36.53,259.47,-7645.8471,0.0000,0.0000,OC
32.417,37.27,258.73,-6792.6624,0.0000,0.0000,OC
32.500,38.00,258.00,6759.8476,0.0000,0.0000,OC
