gap,dtheta_deg,r_mm,d_ball_mm,rpm,overlap_deg,t_overlap_us,t_need_us,spacing_deg,A1_fits,A1_margin_us,A2_nocross,A2_margin_deg,A3_envelope,A4_strike,eta_real,viable
SG3b,-4,350,12,4500,2.292,84.88,4.30,4.85,True,80.6,True,2.56,True,True,0.7045,True
SG3b,-4,350,12,6000,2.292,63.66,4.30,4.85,True,59.4,True,2.56,True,True,0.7053,True
SG3b,-4,350,16,3000,2.947,163.70,4.30,4.85,True,159.4,True,1.90,True,True,0.7016,True
SG3b,-4,350,16,4500,2.947,109.13,4.30,4.85,True,104.8,True,1.90,True,True,0.7036,True
SG3b,-4,350,16,6000,2.947,81.85,4.30,4.85,True,77.6,True,1.90,True,True,0.7047,True
SG3b,-4,350,20,3000,3.601,200.08,4.30,4.85,True,195.8,True,1.25,True,True,0.7002,True
SG3b,-4,350,20,4500,3.601,133.39,4.30,4.85,True,129.1,True,1.25,True,True,0.7027,True
SG3b,-4,350,20,6000,3.601,100.04,4.30,4.85,True,95.7,True,1.25,True,True,0.7040,True
SG3b,-4,387,4,3000,0.888,49.35,4.30,4.85,True,45.1,True,3.96,True,True,0.7059,True
SG3b,-4,387,4,4500,0.888,32.90,4.30,4.85,True,28.6,True,3.96,True,True,0.7065,True
SG3b,-4,387,4,6000,0.888,24.68,4.30,4.85,True,20.4,True,3.96,True,True,0.7068,True
SG3b,-4,387,8,3000,1.481,82.25,4.30,4.85,True,78.0,True,3.37,True,True,0.7046,True
SG3b,-4,387,8,4500,1.481,54.83,4.30,4.85,True,50.5,True,3.37,True,True,0.7057,True
SG3b,-4,387,8,6000,1.481,41.13,4.30,4.85,True,36.8,True,3.37,True,True,0.7062,True
SG3b,-4,387,12,3000,2.073,115.15,4.30,4.85,True,110.9,True,2.78,True,True,0.7034,True
SG3b,-4,387,12,4500,2.073,76.77,4.30,4.85,True,72.5,True,2.78,True,True,0.7048,True
SG3b,-4,387,12,6000,2.073,57.58,4.30,4.85,True,53.3,True,2.78,True,True,0.7056,True
SG3b,-4,387,16,3000,2.665,148.05,4.30,4.85,True,143.8,True,2.19,True,True,0.7022,True
SG3b,-4,387,16,4500,2.665,98.70,4.30,4.85,True,94.4,True,2.19,True,True,0.7040,True
SG3b,-4,387,16,6000,2.665,74.03,4.30,4.85,True,69.7,True,2.19,True,True,0.7049,True
SG3b,-4,387,20,3000,3.257,180.95,4.30,4.85,True,176.7,True,1.59,True,True,0.7009,True
SG3b,-4,387,20,4500,3.257,120.63,4.30,4.85,True,116.3,True,1.59,True,True,0.7032,True
SG3b,-4,387,20,6000,3.257,90.48,4.30,4.85,True,86.2,True,1.59,True,True,0.7043,True
SG3b,-4,450,4,3000,0.764,42.44,4.30,4.85,True,38.1,True,4.09,True,True,0.7061,True
SG3b,-4,450,4,4500,0.764,28.29,4.30,4.85,True,24.0,True,4.09,True,True,0.7067,True
SG3b,-4,450,4,6000,0.764,21.22,4.30,4.85,True,16.9,True,4.09,True,True,0.7069,True
SG3b,-4,450,8,3000,1.273,70.74,4.30,4.85,True,66.4,True,3.58,True,True,0.7051,True
SG3b,-4,450,8,4500,1.273,47.16,4.30,4.85,True,42.9,True,3.58,True,True,0.7060,True
SG3b,-4,450,8,6000,1.273,35.37,4.30,4.85,True,31.1,True,3.58,True,True,0.7064,True
SG3b,-4,450,12,3000,1.783,99.03,4.30,4.85,True,94.7,True,3.07,True,True,0.7040,True
SG3b,-4,450,12,4500,1.783,66.02,4.30,4.85,True,61.7,True,3.07,True,True,0.7052,True
SG3b,-4,450,12,6000,1.783,49.51,4.30,4.85,True,45.2,True,3.07,True,True,0.7059,True
SG3b,-4,450,16,3000,2.292,127.32,4.30,4.85,True,123.0,True,2.56,True,True,0.7029,True
SG3b,-4,450,16,4500,2.292,84.88,4.30,4.85,True,80.6,True,2.56,True,True,0.7045,True
SG3b,-4,450,16,6000,2.292,63.66,4.30,4.85,True,59.4,True,2.56,True,True,0.7053,True
SG3b,-4,450,20,3000,2.801,155.62,4.30,4.85,True,151.3,True,2.05,True,True,0.7019,True
SG3b,-4,450,20,4500,2.801,103.75,4.30,4.85,True,99.4,True,2.05,True,True,0.7038,True
SG3b,-4,450,20,6000,2.801,77.81,4.30,4.85,True,73.5,True,2.05,True,True,0.7048,True
SG3b,-4,491,4,3000,0.700,38.90,4.30,4.85,True,34.6,True,4.15,True,True,0.7063,True
SG3b,-4,491,4,4500,0.700,25.93,4.30,4.85,True,21.6,True,4.15,True,True,0.7068,True
SG3b,-4,491,4,6000,0.700,19.45,4.30,4.85,True,15.1,True,4.15,True,True,0.7070,True
SG3b,-4,491,8,3000,1.167,64.83,4.30,4.85,True,60.5,True,3.68,True,True,0.7053,True
SG3b,-4,491,8,4500,1.167,43.22,4.30,4.85,True,38.9,True,3.68,True,True,0.7061,True
SG3b,-4,491,8,6000,1.167,32.41,4.30,4.85,True,28.1,True,3.68,True,True,0.7065,True
SG3b,-4,491,12,3000,1.634,90.76,4.30,4.85,True,86.5,True,3.22,True,True,0.7043,True
SG3b,-4,491,12,4500,1.634,60.51,4.30,4.85,True,56.2,True,3.22,True,True,0.7055,True
SG3b,-4,491,12,6000,1.634,45.38,4.30,4.85,True,41.1,True,3.22,True,True,0.7060,True
SG3b,-4,491,16,3000,2.100,116.69,4.30,4.85,True,112.4,True,2.75,True,True,0.7033,True
SG3b,-4,491,16,4500,2.100,77.79,4.30,4.85,True,73.5,True,2.75,True,True,0.7048,True
SG3b,-4,491,16,6000,2.100,58.35,4.30,4.85,True,54.0,True,2.75,True,True,0.7055,True
SG3b,-4,491,20,3000,2.567,142.62,4.30,4.85,True,138.3,True,2.28,True,True,0.7024,True
SG3b,-4,491,20,4500,2.567,95.08,4.30,4.85,True,90.8,True,2.28,True,True,0.7042,True
SG3b,-4,491,20,6000,2.567,71.31,4.30,4.85,True,67.0,True,2.28,True,True,0.7050,True
